kor:puppy;강아지
kor:frog|개구리
description-modifier:peach|복숭아상의 사람은 우아하고 섬세한 성격을 가진 사람입니다. 그들은 아름다움과 우아함을 추구하며, 세련된 삶의 양식을 가지고 있습니다.\n복숭아는 매끄럽고 부드러운 외관과 달콤한 맛으로 알려져 있습니다. 이와 같이 복숭아상의 사람들도 섬세하고 부드러운 매력을 가지고 있으며, 그들의 존재 자체가 주변에 아름다움을 전달합니다.\n복숭아상의 사람들은 섬세한 감수성과 예민한 미감을 가지고 있습니다. 그들은 아름다움을 찾고, 예술과 문화에 깊은 관심을 가지며, 자신의 감성과 창의력을 표현하는 데 능숙합니다. 이들은 미적인 가치를 중시하며, 조화로운 디자인과 세련된 스타일을 추구합니다.\n또한, 복숭아상의 사람들은 인간관계에서도 우아하고 섬세한 모습을 보입니다. 그들은 세심하게 상대방을 배려하고, 따뜻한 대인 관계를 형성합니다. 이들은 공감능력이 뛰어나며, 상대방의 감정을 이해하고 존중합니다.\n복숭아상의 사람들은 자신의 목표를 위해 노력하고, 높은 품질과 완벽한 성과를 추구합니다. 그들은 섬세함과 신중함을 바탕으로 일을 처리하며, 성취감과 자부심을 느낍니다. 이들은 노력과 헌신을 통해 자신의 잠재력을 발휘하고, 목표 달성을 이룹니다.\n총론적으로, 복숭아상의 사람은 우아하고 섬세한 성격을 가진 사람으로, 아름다움과 우아함을 추구합니다. 섬세한 감수성과 예민한 미감을 가지고 있으며, 예술과 문화에 관심을 가지고 창의력을 표현합니다. 상대방을 배려하며 섬세한 모습으로 인간관계를 형성하며, 자신의 목표를 위해 노력하여 완벽한 성과를 추구합니다.
description-modifier:apple|사과상의 사람은 실용적이고 균형 잡힌 성격을 가진 사람입니다. 그들은 현실적인 사고와 실용성을 바탕으로 문제를 해결하며, 안정적인 삶을 추구합니다.\n사과는 일상에서 흔히 볼 수 있는 과일로, 실용적이고 건강에 이로운 속성으로 알려져 있습니다. 이와 같이 사과상의 사람들도 현실에 기반한 생각과 실용적인 접근을 통해 문제를 해결하며, 안정적인 삶을 살아갑니다.\n사과상의 사람들은 실용적이고 현실적인 사고를 가지고 있습니다. 그들은 문제를 분석하고 필요한 조치를 취하는 것에 능숙하며, 자원을 효율적으로 활용합니다. 이들은 현실적인 목표를 설정하고 그에 맞추어 계획을 세우며, 실천적인 방법으로 목표를 달성합니다.\n또한, 사과상의 사람들은 안정적이고 균형 잡힌 성격을 지니고 있습니다. 그들은 감정을 잘 조절하며, 분별력을 가지고 행동합니다. 이들은 갈등 상황에서도 침착하게 대처하며, 타인과의 관계에서 조화를 이루는 데 능숙합니다.\n사과상의 사람들은 신뢰성과 신중함을 가지고 있습니다. 그들은 자신의 약속을 지키고, 주어진 일을 성실히 수행합니다. 이들은 동료들과의 협업을 중요시하며, 팀의 일원으로서 책임감을 가지고 행동합니다.\n총론적으로, 사과상의 사람은 실용적이고 균형 잡힌 성격을 가진 사람입니다. 현실적인 사고와 실용성을 바탕으로 문제를 해결하며, 안정적인 삶을 추구합니다. 신뢰성과 신중함을 가지고 있어 다른 사람들과의 관계에서 조화를 이루며, 실천적인 방법으로 목표를 달성합니다.
description-modifier:orange|오렌지상의 사람은 활발하고 자유로운 성격을 가진 사람입니다. 그들은 쾌활하고 긍정적인 에너지를 가지고 있으며, 주변 사람들을 활기차게 만듭니다.\n오렌지는 밝은 색상과 상큼한 향기로 알려져 있습니다. 이와 같이 오렌지상의 사람들도 밝고 활기찬 성격을 가지고 있으며, 자신의 존재로 주변에 활력을 불어넣습니다.\n오렌지상의 사람들은 활발하고 자유로운 영혼을 가지고 있습니다. 그들은 즐겁고 긍정적인 마인드셋으로 일상을 즐기며, 어떤 상황에서도 자유로운 사고와 행동을 보여줍니다. 이들은 새로운 경험을 추구하고, 변화와 도전을 즐기며, 자유로운 영감을 찾아 나섭니다.\n또한, 오렌지상의 사람들은 사회적인 관계에서 활발하게 참여합니다. 그들은 사교적이며 대화를 즐기며, 주변 사람들과의 소통을 중요시합니다. 이들은 사회적인 모임에서 분위기를 활기차게 만들며, 사람들과의 인터랙션을 통해 자신의 에너지를 얻습니다.\n오렌지상의 사람들은 창의적인 아이디어와 열정을 가지고 있습니다. 그들은 새로운 방식으로 문제를 해결하고, 독특한 관점에서 세상을 바라봅니다. 이들은 자신의 열정과 에너지를 통해 목표를 추구하며, 자신의 비전을 실현하기 위해 노력합니다.\n총론적으로, 오렌지상의 사람은 활발하고 자유로운 성격을 가진 사람으로, 긍정적인 에너지와 즐거움을 주변에 전달합니다. 활기찬 영혼을 가지고 있으며, 변화와 도전을 즐기며 새로운 경험을 추구합니다. 사회적인 관계에서 활발하게 참여하며, 창의적인 아이디어와 열정으로 목표를 추구합니다.
description-modifier:pineapple|파인애플상의 사람은 활발하고 열정적인 성격을 가진 사람입니다. 그들은 자신의 목표를 위해 끊임없이 노력하며, 주변 사람들을 에너지로 가득 채웁니다.\n파인애플은 특유의 신선하고 상큼한 맛으로 알려져 있습니다. 이와 같이 파인애플상의 사람들도 상큼하고 활기찬 성격을 가지고 있으며, 그들의 존재 자체가 주변을 밝게 만듭니다.\n파인애플상의 사람들은 자신의 목표에 대한 열정과 결의를 가지고 있습니다. 그들은 높은 목표를 설정하고, 그를 위해 열심히 노력하며 도전합니다. 이들은 적극적이고 명확한 목표 지향적인 성격을 가지며, 어려움에 부딪혀도 포기하지 않고 계속해서 앞으로 나아갑니다.\n또한, 파인애플상의 사람들은 활발하고 사회적인 성향을 가지고 있습니다. 그들은 사교적이며 쉽게 다른 사람들과 소통하고 친밀한 관계를 형성합니다. 이들은 대화를 즐기며, 주변 사람들과의 상호작용을 중요시합니다. 이들의 쾌활한 성격과 긍정적인 에너지는 주변에 활력과 웃음을 전파합니다.\n파인애플상의 사람들은 창의적이고 유연한 사고를 가지고 있습니다. 그들은 문제 해결에 있어서 다양한 관점과 방법을 동원하여 새로운 아이디어와 해결책을 찾아냅니다. 이들은 변화에 적응하며, 새로운 도전과 경험을 즐기며 성장합니다.\n총론적으로, 파인애플상의 사람은 활발하고 열정적인 성격을 가진 사람으로, 목표에 대한 열정과 결의를 가지고 노력합니다. 사회적이며 사교적인 성향을 가지며, 주변 사람들에게 활력과 웃음을 전달합니다. 창의적인 사고를 통해 문제를 해결하고, 변화와 도전을 즐기며 성장합니다.
description-modifier:운동부|운동부상의 사람은 활동적이고 목표지향적인 성격을 가진 사람입니다. 그들은 운동이나 스포츠에 대한 열정과 헌신을 가지고 있으며, 몸과 정신의 건강을 추구합니다.\n운동부상의 사람들은 활동적인 성향을 가지고 있습니다. 그들은 체력을 키우고 스포츠를 즐기며, 주변에 활기와 에너지를 전파합니다. 이들은 신체적인 활동을 통해 스트레스를 해소하고, 건강한 라이프스타일을 유지합니다.\n운동부상의 사람들은 목표지향적인 성격을 가지고 있습니다. 그들은 자신에게 도전을 주고, 개인적인 목표를 설정하며 꾸준히 노력합니다. 이들은 헌신적이고 규칙적인 훈련을 통해 자기계발에 주력하며, 성취감과 자신감을 얻습니다.\n또한, 운동부상의 사람들은 협동심과 팀워크를 가지고 있습니다. 그들은 다른 사람들과 함께 운동하고 경쟁하며, 팀의 목표를 위해 협력합니다. 이들은 상호간의 동기부여와 지지를 제공하며, 팀 내에서의 적극적인 역할을 수행합니다.\n운동부상의 사람들은 규칙과 질서를 중시합니다. 그들은 훈련과 스포츠에 대한 규칙을 엄수하며, 안전을 최우선으로 생각합니다. 이들은 자기관리와 건강한 생활습관을 중요시하며, 균형있는 생활을 추구합니다.\n총론적으로, 운동부상의 사람은 활동적이고 목표지향적인 성격을 가진 사람으로, 운동과 스포츠에 대한 열정과 헌신을 가지고 있습니다. 활기와 에너지를 주변에 전파하며, 목표를 위해 노력하고 성취감을 얻습니다. 협동심과 팀워크를 가지고 다른 사람들과 함께 운동하며, 규칙과 질서를 중요시합니다. 건강한 생활습관과 균형 있는 생활을 추구합니다.
description-modifier:일진남자|일진상의 사람은 사회적인 권력과 영향력을 가진 사람으로서, 자신들이 특정 집단 내에서 우월하다고 여기는 경향이 있습니다. 이들은 자신들의 집단에 대한 충성심을 갖고, 그들과 함께 일하는 다른 사람들을 주로 선택하거나 우대합니다.\n일진상의 사람들은 일반적으로 자신들의 의견을 강력하게 주장하며, 다른 의견을 존중하지 않을 수 있습니다. 이들은 자신들이 옳다고 믿는 가치와 관점을 중시하며, 그들의 집단의 목표와 이익을 추구합니다. 때로는 다른 사람들을 제압하거나 협박하여 자신들의 의지를 강요할 수도 있습니다.\n일진상의 사람들은 사회적인 성공과 지위에 큰 관심을 가지며, 자신들의 목표를 달성하기 위해 힘을 발휘합니다. 그들은 경쟁과 성취에 몰두하며, 종종 타인을 이기기 위해 야심차게 행동합니다. 이들은 자신들이 성공을 이룬 것에 자부심을 느끼고, 주위 사람들에게 자신들의 우월성을 강조하기도 합니다.\n일진상의 사람들은 종종 다른 사람들과의 협력보다 자기중심적인 행동을 더 중요하게 여깁니다. 그들은 다른 사람들을 자신들의 목적을 달성하는 도구로 사용하는 경향이 있습니다. 이로 인해 다른 사람들과의 갈등이 발생하거나 사회적으로 고립될 수 있습니다.\n총론적으로, 일진상의 사람은 사회적인 권력과 영향력을 가진 사람으로, 자신들의 집단 내에서 우월성을 강조하는 경향이 있습니다. 자기중심적인 행동과 목적 달성에 집중하며, 다른 의견을 존중하지 않을 수 있습니다. 이로 인해 갈등과 사회적 분열을 초래할 수 있습니다.
description-modifier:까불이|까불이상의 사람은 자유로운 영혼과 불굴의 의지를 가진 사람입니다. 그들은 규칙을 어길 용의가 있으며, 독립적인 생각과 행동을 추구합니다.\n까불이상의 사람들은 혹독한 사회적 압력에 대항하며 자신의 가치와 신념을 지킵니다. 그들은 개인의 자유와 창의성을 존중하며, 상황에 따라 논리보다는 직감과 감정을 우선시하는 편입니다.\n이들은 관습에 얽매이지 않고 새로운 아이디어와 독특한 관점을 가지고 있습니다. 독립적인 사고와 창의적인 해결책을 제시하여 혁신적인 변화를 이끌어냅니다. 그들은 예측 불가능한 성향을 가지고 있어 다른 사람들을 놀라게 하기도 합니다.\n까불이상의 사람들은 자신의 가치와 주관을 중요시하며, 상대방의 의견에 대해서도 독립적인 판단을 내립니다. 이로 인해 다른 사람들과 충돌할 수 있지만, 그들은 자신의 의견을 확고히 지키며 존중받을 만한 공간과 인정을 원합니다.\n총론적으로, 까불이상의 사람은 자유로운 영혼과 불굴의 의지를 가진 사람입니다. 개인의 가치와 신념을 중요시하며, 독립적인 사고와 창의적인 해결책을 통해 변화를 이끌어냅니다. 예측 불가능한 성향을 가지고 있으며, 자신의 의견을 확고히 지키면서도 상호 존중을 원합니다.
description-modifier:오따꾸|오타쿠상의 사람은 일본 문화, 특히 만화 (망가)나 애니메이션, 비디오 게임 등에 깊은 관심을 가진 사람을 지칭합니다. 이들은 해당 분야의 작품들을 즐기는 데 열정적이며, 종종 해당 분야에 대한 지식과 정보를 많이 보유하고 있습니다.\n오타쿠상의 사람들은 자신의 관심사에 대해 열정적으로 연구하고 탐구하는 경향이 있습니다. 그들은 만화, 애니메이션, 비디오 게임 등에 대한 지식을 쌓고, 작품들을 수집하며, 주변 사람들과 공유하는 것을 즐깁니다. 이들은 종종 캐릭터의 의상을 입거나, 주제에 관련된 이벤트나 모임에 참여하기도 합니다.\n오타쿠상의 사람들은 자신의 취향과 관심사에 매우 헌신적이며, 종종 해당 분야에 대한 전문성을 갖추고 있습니다. 그들은 주변에 대해 자신의 관심사를 나타내는 것을 좋아하며, 이를 통해 동료 오타쿠들과의 연결과 소통을 이루기도 합니다.\n또한, 오타쿠상의 사람들은 종종 공동체와 소속감을 형성하는 경향이 있습니다. 이들은 온라인 포럼, 소셜 미디어, 이벤트 등을 통해 동일한 관심사를 가진 사람들과 교류하고 소통합니다. 이를 통해 정보를 공유하고 새로운 작품을 발견하며, 함께 이야기를 나누는 즐거움을 느낍니다.\n총론적으로, 오타쿠상의 사람은 만화, 애니메이션, 비디오 게임 등 일본 문화에 깊은 관심을 가진 사람으로, 해당 분야의 작품을 즐기는 데 열정적입니다. 전문성을 갖추고 지식을 공유하며, 공동체와 소속감을 형성하는 것을 즐깁니다.
description-modifier:전교회장|전교 회장상의 사람은 학교 내에서 최고위의 학생 지도자로서 선출되는 사람을 의미합니다. 이들은 학교 내에서 리더십과 책임감을 갖고 있으며, 학생들을 대표하고 학교 생활을 조직화하는 역할을 맡습니다.\n전교 회장상의 사람들은 학업적으로 뛰어나며, 학교 내의 다양한 활동에 적극적으로 참여합니다. 그들은 학교의 목표를 실현하기 위해 다양한 팀과 조직을 이끄는 역할을 수행합니다. 이를 통해 학생들의 의견을 수렴하고, 학교 관리자 및 교사와 협력하여 학교 환경을 개선하는 데 기여합니다.\n전교 회장상의 사람들은 리더십과 의사소통 능력이 뛰어나며, 학교 내에서 학생들과 교사들 간의 원활한 소통을 조장합니다. 그들은 학생들의 목소리를 대변하고, 학생들의 이해와 지원을 도모하는 역할을 수행합니다. 또한, 학교 행사와 행정 업무 등 다양한 책임을 관리하고 조정합니다.\n전교 회장상의 사람들은 예의 바른 태도와 도덕적인 가치관을 갖추고 있습니다. 그들은 학교의 규칙과 규율을 준수하며, 학생들에게 모범이 되는 모습을 보여줍니다. 이를 통해 학교 내 질서와 동기부여를 유지하고, 학생들에게 긍정적인 영향을 미칩니다.\n총론적으로, 전교 회장상의 사람은 학교 내에서 학생들을 대표하고 조직화하는 역할을 맡은 학생 지도자입니다. 리더십과 의사소통 능력을 갖추고, 학교의 목표를 실현하기 위해 노력합니다. 예의 바른 태도와 도덕적 가치를 갖추며, 학생들에게 모범이 되는 역할을 수행합니다.
description-modifier:틱톡찍는일진여고생|틱톡찍는 일진 여고생상은 사회적인 영향력을 가진 여고생으로, 틱톡이나 다른 소셜 미디어 플랫폼에서 인기를 끌고 있는 사람을 의미합니다. 이들은 특정한 트렌드나 유행을 선도하며, 많은 팔로워와 조회수를 얻습니다.\n이 상을 가진 사람들은 창의적이고 재치있는 콘텐츠를 제작하고, 이를 통해 주변 사람들에게 놀라움과 즐거움을 선사합니다. 그들은 자신의 특별한 행동, 말투, 또는 유머 감각 등으로 인기를 얻으며, 사회적인 영향력을 통해 많은 사람들에게 영향을 미칩니다.\n틱톡찍는 일진 여고생상은 미디어에 대한 이해도가 높으며, 크리에이티브한 아이디어를 가지고 있습니다. 그들은 사회적인 트렌드와 유행에 민감하게 대응하며, 자신만의 독특한 스타일과 개성을 갖추고 있습니다.\n그러나 중요한 점은 일진 여고생상을 가진 사람들이 다양한 경험과 관점을 갖고 있을 수 있다는 것입니다. 그들도 개인적인 성격과 가치관을 가지고 있으며, 소셜 미디어에서의 인기와 영향력만으로 이들의 전반적인 인격을 판단할 수는 없습니다.\n총론적으로, 틱톡찍는 일진 여고생상은 소셜 미디어에서 인기를 얻으며, 사회적인 영향력을 가진 여고생을 의미합니다. 그들은 창의적이고 재치있는 콘텐츠를 제작하여 많은 팔로워와 조회수를 얻으며, 사회적인 영향력을 통해 많은 사람들에게 영향을 미칩니다. 그러나 이들의 전반적인 인격과 가치는 개인마다 다를 수 있으며, 소셜미디어에서의 인기와 영향력만으로 판단하는 것은 적절하지 않습니다.
description-modifier:모범생|모범생상은 일반적으로 학교나 조직 내에서 우수한 학업 성적과 훌륭한 행동을 보여주는 사람을 의미합니다. 이들은 높은 성취도와 뛰어난 품성을 갖추고 있으며, 학교나 조직 내에서 리더십과 예절을 보여줍니다.\n모범생상을 가진 사람들은 학업적으로 뛰어나며, 수업에서 성취도가 높은 성적을 받거나 학교 내에서 주목받는 활동을 수행합니다. 그들은 공부에 헌신하고, 교사들의 지도를 열심히 받아들이며, 질문을 하거나 동료들에게 도움을 주는 등 학습 과정에서 적극적으로 참여합니다.\n또한, 모범생상을 가진 사람들은 훌륭한 행동과 예절을 갖추고 있습니다. 그들은 다른 사람들을 존중하고 배려하며, 양호한 윤리적 가치관을 보여줍니다. 학교나 조직 내에서는 규칙과 규율을 준수하며, 학교 환경을 개선하기 위해 봉사활동이나 학생 자치 조직 등에 참여할 수도 있습니다.\n모범생상을 가진 사람들은 주변 학생들에게 영향을 미치고, 긍정적인 모델로서 작용합니다. 그들의 훌륭한 예측은 다른 학생들에게 동기를 부여하고, 성공을 이루는 데 영감을 줄 수 있습니다. 또한, 학교나 조직 내에서는 리더십 역할을 맡을 수 있고, 동료들과의 협력과 팀워크를 이끌어냄으로써 긍정적인 환경을 조성합니다.\n총론적으로, 모범생상은 학업적으로 뛰어나고 훌륭한 행동을 보여주는 사람을 의미합니다. 이들은 학교나 조직 내에서 우수한 성적과 뛰어난 품성을 보여주며, 리더십과 예절을 갖추고 있습니다. 그들은 영향력을 통해 주변 학생들에게 긍정적인 모델로 작용하고, 학교나 조직 내에서 성공과 협력을 이끌어냅니다.
description-modifier:preacher|목사상의 사람은 종교적 지식과 신앙심을 가진 사람으로, 사람들에게 영적인 가이드를 제공하고 영적인 필요를 충족시키는 역할을 수행합니다.\n목사상의 사람은 종교적 지식과 성경 해석을 통해 사람들에게 가르침을 전달합니다. 그들은 신앙과 관련된 원리와 가치를 설명하며, 종교적인 의식과 의례를 지휘하고 집행합니다.\n목사상의 사람은 영적 지도자로서 사회적 문제와 도덕적 이슈에 대해 조언과 인도를 제공합니다. 그들은 신앙과 도덕적인 가치를 기반으로한 교리와 실천에 대한 가르침을 전달하여 사람들이 올바른 길을 걷도록 도와줍니다.\n목사상의 사람은 예배와 기도를 주도하고, 종교적인 이벤트와 행사를 진행합니다. 그들은 신자들의 영적인 성장을 돕고, 종교 단체의 활동을 조직하며, 사회적인 연대와 선행에 참여합니다.\n목사상의 사람은 영적인 위로와 조언을 제공하며, 개인적인 문제와 고통에 대한 지원을 합니다. 그들은 사람들의 신앙적인 필요와 상담을 충족시키고, 교회 구성원들과의 관계를 도모합니다.\n총론적으로, 목사상의 사람은 종교적인 지식과 신앙심을 갖춘 사람으로, 사회적으로 영적인 가이드와 리더십을 제공합니다. 그들은 종교적인 가르침과 영적인 지원을 통해 사람들의 신앙적인 성장과 영적인 필요를 충족시키는 역할을 합니다.
description-modifier:announcer|아나운서상의 사람은 뛰어난 언변과 전달력을 가진 사람으로, 다양한 분야에서 정보를 전달하고 대중과 소통하는 역할을 수행합니다.\n아나운서상의 사람은 명확하고 구체적인 언어 표현 능력을 갖추고 있습니다. 그들은 자신의 말을 효과적으로 조절하고, 목소리의 톤과 강도를 다양하게 변화시켜 듣는 이들에게 정보를 전달하거나 감정을 전달할 수 있습니다.\n아나운서상의 사람은 다양한 분야에서 활동할 수 있습니다. 그들은 뉴스, 스포츠, 엔터테인먼트, 날씨 등 다양한 분야에서 중요한 정보를 전달하며, 인터뷰나 토론과 같은 상황에서 질문을 제시하고 응답을 이끌어내는 역할을 합니다.\n아나운서상의 사람은 정확한 정보와 중립성을 유지하면서도, 대중의 이해를 돕는 해설과 설명을 제공합니다. 그들은 미디어에서 중요한 역할을 수행하여 사회적 이슈를 다루거나, 특정 프로그램의 진행과 해설을 담당합니다.\n아나운서상의 사람은 대중과의 소통 능력을 가지고 있습니다. 그들은 카리스마와 친근한 매력을 지니며, 청취자와 시청자와의 감정적인 연결을 형성하고, 관객들에게 정보와 엔터테인먼트를 제공합니다.\n총론적으로, 아나운서상의 사람은 뛰어난 언변과 전달력을 가진 사람으로, 다양한 분야에서 정보를 전달하고 대중과 소통하는 역할을 합니다. 그들은 정확하고 명확한 언어 표현 능력을 바탕으로 중요한 정보를 전달하며, 대중과 감정적인 연결을 형성하여 관객들에게 풍부한 경험을 제공합니다.
description-modifier:athlete|운동선수상의 사람은 근육과 체력을 발휘하여 스포츠 경기에서 우수한 실력을 보여주는 사람을 의미합니다. 그들은 열정과 헌신으로 훈련하고 경기에 참가하여 최고의 성과를 이루어냅니다.\n운동선수상의 사람은 뛰어난 신체적 능력을 가지고 있습니다. 그들은 체력, 스피드, 근력 등을 발휘하여 경기에서 우수한 성과를 내기 위해 훈련합니다. 또한, 기술과 전략을 연마하여 경기에서 경쟁자를 이기는 데 주력합니다.\n운동선수상의 사람은 목표를 위해 끊임없이 노력합니다. 그들은 헌신과 훈련을 통해 자신의 실력을 향상시키고, 경기에서 최고의 성과를 이루기 위해 열심히 노력합니다. 그들은 자기 희생적인 태도로 팀이나 국가를 대표하여 경기를 치르며, 스포츠의 영광과 승리를 위해 노력합니다.\n운동선수상의 사람은 스포츠의 가치와 정신을 지니고 있습니다. 그들은 경기에서 팀원과의 협력과 팀워크를 중요시하며, 공정한 경기를 위해 규칙과 윤리를 준수합니다. 또한, 팬들과의 소통과 올바른 모범이 되어 사회적 영향력을 행사합니다.\n총론적으로, 운동선수상의 사람은 스포츠에서 뛰어난 실력과 헌신을 가진 인물입니다. 그들은 열정과 훈련을 통해 최고의 성과를 이뤄내며, 스포츠의 가치와 정신을 대표합니다. 또한, 팀이나 국가를 대표하여 경기를 치르고 팬들과 소통하며, 사회적 영향력을 행사합니다.
description-modifier:politician|정치인상의 사람은 지식과 통찰력을 바탕으로 사회 및 정치 문제에 대해 의견을 제시하고, 사회적 변화와 발전을 이끌어내는 인물을 의미합니다.\n정치인상의 사람은 리더십과 커뮤니케이션 능력을 갖추고 있으며, 대중의 요구와 이익을 적절하게 대표하고 수용하며, 국가 또는 지역 사회의 발전을 위해 노력합니다.\n정치인상의 사람은 정치적인 지식과 이해를 바탕으로 정책을 수립하고 법안을 제안합니다. 그들은 사회 문제를 분석하고 해결책을 모색하며, 공공의 이익을 추구합니다.\n정치인상의 사람은 대중들의 신뢰와 지지를 받으며, 책임감과 성실함을 갖고 사회에 기여합니다. 그들은 대화와 협상을 통해 다양한 이해관계자와 소통하고 협력하며, 다양한 이익을 조화롭게 조정하는 역할을 수행합니다.\n정치인상의 사람은 사회적 문제와 국가의 안정을 위해 노력합니다. 그들은 정치적인 변화를 주도하여 사회적 혁신과 발전을 이루며, 사회적 평등과 정의, 인권 보호 등을 추구합니다.\n총론적으로, 정치인상의 사람은 사회와 정치에 지식과 통찰력을 기반으로 참여하는 인물입니다. 그들은 리더십과 커뮤니케이션 능력을 통해 대중을 대표하고, 정책을 제안하여 사회적 변화를 이끌며, 공공의 이익을 추구합니다.
description-modifier:professional-gamer|프로게이머상의 사람은 열정적이고 탁월한 게임 실력을 가진 전문 게이머를 의미합니다. 이들은 다양한 게임에서 최고 수준의 경기력을 보여주며, 대회에서 우수한 성과를 거둡니다.\n프로게이머상의 사람들은 게임에 대한 깊은 이해와 뛰어난 반응 속도, 정확한 판단력을 갖추고 있습니다. 그들은 팀플레이와 개인 실력을 결합하여 경기에서 승리를 위해 전략을 수립하고, 높은 집중력과 순발력을 발휘합니다. 또한, 최신 게임 트렌드와 전략을 학습하며, 상대방을 분석하여 효과적인 플레이를 펼칩니다.\n프로게이머상의 사람들은 게임 대회와 이벤트에 참가하여 경쟁하고, 승리와 상금을 향해 노력합니다. 그들은 팀에 소속되어 팀원들과 협력하여 경기를 치르기도 하며, 개인적으로도 게임 스트리밍이나 온라인 콘텐츠 제작을 통해 팬들과 소통하고 성장합니다.\n프로게이머상의 사람들은 게임 커뮤니티에서 많은 팬들에게 영감과 동기를 주며, 게임 문화의 확장과 발전에 기여합니다. 그들은 게임 대회와 방송을 통해 많은 사람들에게 엔터테인먼트를 제공하고, 게임 커뮤니티의 성장과 함께 긍정적인 영향력을 미칩니다.\n총론적으로, 프로게이머상의 사람은 게임에 열정을 품고 탁월한 실력을 가진 전문 게이머를 의미합니다. 그들은 게임에 대한 깊은 이해와 뛰어난 기술을 바탕으로 경기에서 우수한 성과를 내며, 게임 커뮤니티와 팬들에게 엔터테인먼트를 제공하며 성장합니다.
description-modifier:hero|슈퍼맨상의 사람은 열정과 도전정신을 갖춘 비범한 인물로, 특별한 능력을 갖고 일상 속에서 뛰어난 업적을 이루어내는 사람을 의미합니다.\n슈퍼맨상의 사람은 주변 사람들에게 영감을 주는 리더이자 우리의 희망의 상징입니다. 그들은 평범한 상황에서도 탁월한 업적을 이루기 위해 노력하며, 어려운 문제에 직면하더라도 포기하지 않고 최선을 다합니다.\n슈퍼맨상의 사람은 대담하고 용감한 행동을 취합니다. 그들은 자기 자신을 극복하고 어려운 상황에 도전하는 것을 두려워하지 않으며, 어떤 상황에서도 사회적 가치와 정의를 위해 행동합니다.\n슈퍼맨상의 사람은 사회에 긍정적인 영향을 미칩니다. 그들은 약자와 불운한 이들을 돕고 보호하며, 선의로 가득한 가치와 품성을 지니고 있습니다. 슈퍼맨상의 사람은 자신의 특별한 능력을 이용해 사회적 문제를 해결하고, 모두에게 희망과 용기를 주는 역할을 수행합니다.\n총론적으로, 슈퍼맨상의 사람은 열정과 도전정신을 가지고 특별한 업적을 이루는 인물입니다. 그들은 용감하고 자기 희생적인 행동을 통해 사회에 긍정적인 영향을 미치며, 희망과 용기를 주는 존재입니다.
description-modifier:mountaineer|산악등반가상의 사람은 대담하고 용감한 모험가로, 높은 산악지대를 탐험하고 등반하는 사람을 의미합니다. 이들은 자연 환경에서 극한의 조건과 도전을 극복하며, 산악의 아름다움과 도전의 쾌감을 경험합니다.\n산악등반가상의 사람들은 체력과 스킬을 갖추고 있습니다. 그들은 균형감각과 체력을 바탕으로 험한 지형을 오르내려 다니며, 로프 사용, 암벽 등반, 얼음등반과 같은 기술을 소유하고 있습니다. 또한, 안전한 등반을 위해 산악 장비와 기법을 숙지하며, 환경에 대한 지식과 대처 능력을 갖추고 있습니다.\n산악등반가상의 사람들은 자연환경과 깊은 연결을 형성합니다. 그들은 아름다운 풍경과 천혜의 자연을 감상하며, 자연의 미를 존중하고 보호하는 환경 감수성을 갖고 있습니다. 또한, 지속 가능한 등반과 자연 보존을 위한 활동에 참여하며, 환경 친화적인 등반 문화를 실천합니다.\n산악등반가상의 사람들은 도전과 자기극복을 추구합니다. 그들은 자신의 한계에 도전하며, 불안정한 지형이나 난이도 높은 경로를 선택합니다. 도전과 위험에 직면하더라도 전략적인 판단과 결단력을 발휘하여 안전하고 성공적인 등반을 이루어냅니다.\n총론적으로, 산악등반가상의 사람은 대담하고 용감한 모험가로서 자연환경에서의 도전과 극복을 즐기는 사람을 의미합니다. 그들은 체력과 스킬을 통해 험한 산악지대를 탐험하고, 자연의 아름다움과 자기극복의 성취를 경험합니다. 또한, 환경 보존과 안전한 등반을 중요시하며, 도전과 위험을 이기기 위해 전략적인 판단력을 발휘합니다.
